Страна,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Изм. За 10 лет (%)
Россия,-,-,-,-,-,-,-,-,-,-,-,-,10805,10091,8999,8818,8668,8958,8588,9303,10512,11346,12127,13333,14728,16222,18133,20229,21700,20118,21272,22784,24279,26045,25731,24062,24104,25999,27386,28495,28171,30850,"35,4"
США,12553,13949,14405,15514,17086,18199,19035,20001,21376,22814,23848,24303,25393,26364,27674,28671,29947,31440,32834,34496,36313,37101,37946,39405,41642,44034,46217,47943,48471,47102,48586,50008,51737,53246,55084,56730,57840,59886,62770,65052,63078,69231,"38,4"
Германия ,11130,11112174,12833,13591,14538,15364,16042,16677,17801,19033,20483,21952,22733,22918,23910,24738,25347,26230,27083,27991,29444,30592,30983,31384,32645,33963,36419,38605,39835,37939,40101,42541,43359,44994,47011,47622,50575,53374,55077,56523,54551,58378,"37,2"
Франция ,10756,11838,12799,13397,14049,14656,15218,15926,17152,18521,19689,20452,21128,21410,22303,23203,23880,24774,25877,27011,28576,29601,30185,30826,32255,33585,35278,36871,37416,36413,37349,38790,39037,40952,41576,42289,44422,46370,48198,49769,46213,51364,"32,4"
Италия,10896,11974,12723,13335,14232,15060,15777,16664,17942,19239,20338,21310,21942,22255,23194,24314,25073,25958,26712,27527,29209,30430,30965,31513,32577,33621,35131,36478,36514,34562,35416,36251,36143,36289,36461,37176,40231,42112,43610,44703,41279,46161,"27,3"
Китай,307,348,397,451,531,613,668,753,853,910,967,1078,1246,1436,1639,1837,2035,2239,2420,2621,2886,3174,3495,3897,4381,5003,5783,6750,7501,8222,9160,10181,11137,11905,12496,12926,13432,14152,15410,16564,17115,19260,"89,2"
Япония,9147,10358,11283,12055,12967,13990,14668,15666,17246,18720,20303,21621,22222,22558,23177,24224,25385,26014,25903,26131,27409,28068,28458,29411,30836,32373,33831,35258,35512,33742,35535,36215,37629,39437,39604,40959,40641,41409,42730,43485,42154,44739,"23,5"
Южная Корея,2169,2507,2840,3297,3730,4109,4620,5285,6067,6685,7545,8556,9197,9961,11005,12193,13269,14197,13523,15177,16787,17860,19427,20328,21872,23480,25345,27401,28550,28813,30988,32547,33557,34244,35325,37908,39567,41001,42996,44659,44750,48578,"49,3"
Бразилия ,4812,4925,5147,5057,5403,5891,6334,6596,6722,7083,6836,7020,7031,7414,7852,8242,8334,8630,8622,8653,9104,9307,9616,9797,10514,11062,11724,12638,13397,13328,14361,15110,15120,15669,15800,14816,14326,14597,15089,15424,14890,16161,7
Аргентина,6173,6256,6327,6725,6988,6595,7117,7394,7414,7077,7095,7996,8899,9538,10179,9973,10590,11512,11956,11587,11633,11257,10089,11105,12303,13681,15090,16728,17567,16472,18064,19322,19641,20132,19684,20105,20308,23597,23291,22997,20764,23597,"22,1"
